郑州奥斯卡曼哈顿国际影城,743481,43.64,31.42
太仓万达国际影城(上海东路店),580509,24.29,46.56
泉州万达国际影城(万达广场店)IMAX,652242,30.78,47.43
成都峨影1958电影城,861708,36.04,32.81
北京活力天宝国际影城,605645,24.67,34.97
武汉华夏国际影城(鲁广店),924752,38.75,25.27
黄石武商国际电影城,1002201,42.66,27.43
南京中影国际影城(仙林金鹰店店),906530,45.13,33.42
保定万达影城(万博广场店),845706,51.68,32.78
滨州万达影城(滨城店),393110,16.31,34.34
深圳万达影城(汇海店),564346,28.53,40.34
广州中影国际影城(太阳新天地店),835864,55.76,36.65
汉中万达国际影城(万邦时代广场店),608513,38.22,31.84
福州CGV影城(东二环IMAX店),708402,30.89,40.20
深圳星美影商城(万科广场店),680326,40.80,36.41
长沙万达国际影城(解放路店),756681,37.74,38.28
深圳海岸影城,712350,50.32,39.76
太原中影国际影城(长风街和信广场店),617769,39.80,35.48
南宁中影国际影城(会展航洋城购物中心店),717870,40.75,37.55
马鞍山万达国际影城(太白大道店),476139,22.60,29.13
广州星美影商城(新都荟店),744793,40.21,29.90
东莞光大比高电影城(南城店),741342,31.58,32.84
武汉金逸影城IMAX(光美武汉荟聚店),696208,28.45,33.26
晋江万达国际影城(晋江万达广场店)IMAX,537865,21.95,46.03
阜阳大地影院(香港财富广场店),485143,21.80,32.87
三明万达影城,321073,17.04,37.80
包头万达影城(青山万达广场店),636116,29.76,36.99
东莞中影飞尚国际影城(长安店),529999,34.04,37.17
赣州CGV影城(万象城IMAX店),772792,34.64,33.09
海口中视国际影城IMAX(国秀城店),738562,45.21,37.48
贵阳星美国际影商城(花果园购物中心店),716021,36.46,44.67
上海星光影城(亚新旗舰店),801716,41.70,36.83
长沙横店电影城,814948,37.82,34.26
温州卢米埃温州万象城IMAX影城,590928,29.77,43.67
洛阳卢米埃影城(王府井店),768129,40.93,31.11
武汉中影国际影城(武汉经开永旺店),758541,45.46,32.79
北京耀莱成龙国际影城(温泉镇店),389085,33.87,38.18
武汉万达影城(菱角湖万达广场店),776031,38.17,34.42
深圳太平洋电影城(深圳天利名城店),582033,28.44,36.44
廊坊华谊兄弟影院(廊坊万向城店),637226,36.41,36.32
吉林万达国际影城(财富广场店),664900,37.62,35.58
武汉武汉博纳国际影城(IMAX),1144554,43.13,31.28
合肥英皇电影城(万象城店),650159,24.62,40.14
